"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,,6.6,7.9,9,10.1,8.8,10.6,12.7,13.5,12,13.5,10.9,12.2,11.8,13.7,14.4,15,14.7,12.5,13.6,15.1,16.1,12.6,10.3,10.6,10.2,7.6,8.8,12.1,11.5,12,9.5,8.3,7.4,5.7,5.8,5.4,5.4,5.5,6.2,7.7,8.8,9.8,8.6,7,6.9,6.9,6.3,4,4.4,3.9,3.3,4.1,2.8,5.6,5.6,4.6,3.9,4.6,4.4,11.2,3,4
             Personal Health Care,,6.5,7.7,9.2,9.8,8.2,10.4,13.1,13.1,12.8,13.7,10.2,11.2,11.7,14.6,14.6,14.3,13.3,11.9,13.9,15.9,16,12.4,10.2,9.7,10.3,8.8,9.6,11.4,10.5,11.9,9.9,8.3,6.5,5.4,6,5.6,5.6,5.5,5.8,7.2,8.6,8.7,8.1,7.2,7,6.6,6.4,4.5,4.9,3.6,3.4,4.1,2.5,5.1,5.8,4.5,3.9,4,5.1,6.4,5.5,4
             Government Administration and Net Cost of Health Insurance,,8.8,10.8,3.1,13.9,21.6,12.1,3.6,21.1,-6.8,9.1,22.4,34.1,11.2,-6.1,9,37.4,39.5,18.6,7.6,0,16.9,15.8,13.3,27.3,7,-10.7,-6.3,27.1,27.2,13.7,2.4,8.3,21.8,7.3,3.1,3.9,2.3,4,9.6,16.5,11.6,24.1,17.7,6.6,6.8,9.9,4.3,-2.6,-0.9,9.3,4.5,3.8,5,12.1,4.6,5.5,4.2,10.8,-4.2,22,-10.3,7.8
             Government Public Health Activities,,10.3,11.5,11.6,12.5,8.5,18.1,17.5,12.6,21.1,15.5,23.6,10.7,14.4,21.7,14.8,8.3,18.7,20.3,17.1,19.9,16.9,14.5,7.3,6.4,13.9,10.5,9.6,12.5,16.4,12.5,10.7,10.1,9.9,10.5,4.8,4.4,7.6,7.5,8.7,5.7,8.7,11.6,3.9,1.3,4.2,6.4,8.3,8.5,3.7,2,-1.7,3.7,5.6,3.6,1.3,5.2,6.1,4.1,9,123.2,-12.9,-1
     Investment,,11.9,21.8,7.3,15.7,9.5,4.3,5.1,12.2,19.2,10.9,13.8,11.9,5.7,9.9,11,10.3,2.5,10.6,10,17.5,14.3,13.6,9.7,5.6,0.7,3.7,10.4,11.8,9.6,11,7.2,9.7,6.6,4.5,3.1,2.3,6.8,9.6,7.5,1.5,5,12.8,7,7.7,7.4,5.9,9.9,6.9,-5.8,3.3,4.4,2.8,0,-2.2,2.2,1.9,8.7,5,2.3,0.1,6.9,5
U.S. Population1,,1.6,1.5,1.4,1.4,1.2,1,0.9,1,1,1.2,1.2,1,0.8,0.7,0.8,0.8,0.9,0.9,1,1,1,1,0.9,0.9,0.9,1,0.9,1,1,1.1,1.1,1.2,1.1,1,1,1,1.1,1,1,1,0.9,0.9,0.8,0.9,0.9,1,1,1,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.3,0.2,0.4
Gross Domestic Product2 ,,3.7,7.4,5.6,7.4,8.4,9.6,5.7,9.4,8.2,5.5,8.5,9.8,11.4,8.4,9,11.2,11.1,13,11.7,8.8,12.2,4.3,8.7,11.1,7.5,5.5,6,7.9,7.7,5.7,3.3,5.9,5.2,6.2,4.8,5.7,6.2,5.7,6.3,6.4,3.2,3.3,4.8,6.6,6.7,6,4.8,2,-2,3.9,3.7,4.2,3.9,4.3,3.9,2.8,4.3,5.3,4.2,-0.9,10.7,9.1
National Health Expenditures (Percent Distribution),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
     Health Consumption Expenditures,90.5,90.1,89,89.1,88.6,88.6,89.1,89.8,89.9,89.3,89.5,89.3,89.3,89.8,90.1,90.4,90.8,91.7,91.8,92,91.9,92,91.9,92,92.3,92.9,93.2,93.1,93.1,93.2,93.2,93.4,93.3,93.3,93.4,93.6,93.8,93.7,93.4,93.4,93.7,93.9,93.8,93.9,93.8,93.8,93.9,93.7,93.5,94.1,94.1,94.1,94.1,94.3,94.7,94.8,95,94.8,94.7,94.8,95.3,95.2,95.1
             Personal Health Care,85.3,84.7,83.5,83.8,83.2,82.7,83.1,84,83.8,83.9,84.2,83.4,82.7,83.1,84.1,84.5,84.3,84.1,83.7,84.2,84.6,84.7,84.5,84.4,84.1,84.7,85.8,86.4,85.9,85.2,85.1,85.6,85.5,84.8,84.6,84.9,85.2,85.2,85,84.7,84.7,84.7,83.7,83.4,83.5,83.6,83.4,83.3,83.5,84.5,84.2,84.2,84.3,84.2,84.2,84.5,84.5,84.3,83.8,84.4,81.2,83,83
             Government Administration and Net Cost of Health Insurance,3.9,4,4,3.8,3.9,4.4,4.5,4.1,4.4,3.7,3.5,3.9,4.6,4.6,3.8,3.7,4.4,5.4,5.7,5.4,4.7,4.7,4.9,5,5.8,5.7,4.7,4,4.6,5.2,5.3,5,5,5.7,5.7,5.6,5.5,5.4,5.3,5.4,5.9,6.1,6.9,7.4,7.4,7.4,7.6,7.5,7,6.7,7,7.1,7.1,7.2,7.7,7.7,7.7,7.7,8.2,7.5,8.3,7.2,7.5
             Government Public Health Activities,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.8,2,2,2.1,2.2,2.2,2.1,2.2,2.4,2.4,2.5,2.6,2.6,2.5,2.4,2.5,2.6,2.6,2.6,2.8,2.8,2.8,2.9,2.9,3.1,3,3,3.1,3.1,3.2,3.2,3.2,3.2,3.1,2.9,2.8,2.8,2.9,3,3,2.9,2.8,2.8,2.9,2.8,2.7,2.7,2.8,2.8,2.9,5.8,4.9,4.7
     Investment,9.5,9.9,11,10.9,11.4,11.4,10.9,10.2,10.1,10.7,10.5,10.7,10.7,10.2,9.9,9.6,9.2,8.3,8.2,8,8.1,8,8.1,8,7.7,7.1,6.8,6.9,6.9,6.8,6.8,6.6,6.7,6.7,6.6,6.4,6.2,6.3,6.6,6.6,6.3,6.1,6.2,6.1,6.2,6.2,6.1,6.3,6.5,5.9,5.9,5.9,5.9,5.7,5.3,5.2,5,5.2,5.3,5.2,4.7,4.8,4.9
National Health Expenditures (Per Capita Amount),146,154,165,178,194,208,227,251,282,315,353,387,430,474,533,603,685,772,859,964,"1,099","1,262","1,408","1,537","1,679","1,822","1,937","2,091","2,321","2,560","2,835","3,065","3,284","3,486","3,644","3,808","3,967","4,143","4,337","4,561","4,845","5,213","5,680","6,114","6,483","6,872","7,270","7,667","7,911","8,136","8,381","8,599","8,877","9,045","9,437","9,874","10,241","10,603","11,030","11,453","12,629","13,012","13,493"
     Health Consumption Expenditures,132,138,147,158,172,185,202,226,254,282,316,346,384,426,481,545,622,707,789,887,"1,010","1,161","1,294","1,414","1,550","1,693","1,805","1,946","2,161","2,386","2,643","2,862","3,064","3,254","3,404","3,564","3,719","3,881","4,053","4,259","4,541","4,897","5,327","5,739","6,083","6,446","6,824","7,181","7,397","7,655","7,889","8,089","8,356","8,528","8,936","9,364","9,726","10,047","10,449","10,862","12,039","12,383","12,835"
             Personal Health Care,124,130,138,149,161,172,188,211,236,264,297,323,356,394,448,510,578,649,719,811,930,"1,069","1,189","1,298","1,412","1,543","1,663","1,806","1,993","2,181","2,413","2,623","2,806","2,954","3,083","3,234","3,380","3,531","3,688","3,865","4,102","4,415","4,755","5,097","5,415","5,744","6,066","6,390","6,610","6,872","7,057","7,242","7,483","7,616","7,942","8,342","8,656","8,933","9,241","9,669","10,255","10,805","11,197"
             Government Administration and Net Cost of Health Insurance,6,6,7,7,8,9,10,10,12,12,12,15,20,22,20,22,30,42,49,52,52,60,69,77,97,103,91,85,106,134,151,153,164,197,209,214,220,222,229,248,286,317,390,455,481,509,553,571,551,541,587,609,627,654,728,756,791,820,904,862,"1,048",939,"1,008"
             Government Public Health Activities,2,2,2,3,3,3,4,4,5,6,6,8,9,10,12,13,14,17,20,24,28,32,37,39,41,46,51,55,61,71,79,86,94,102,112,116,120,127,136,146,153,164,182,187,188,194,204,219,236,242,245,239,246,258,265,267,279,294,304,330,735,639,630
     Investment,14,15,18,19,22,24,25,26,28,34,37,41,46,48,53,58,63,64,70,77,89,101,114,123,129,129,133,145,161,174,192,203,220,232,240,245,248,262,284,302,304,316,353,375,400,426,447,486,515,480,492,510,520,517,502,509,515,556,581,592,590,629,658
National Health Expenditures as a Percent of Gross Domestic Product (Percent),5,5.2,5.3,5.4,5.6,5.6,5.6,6,6.2,6.4,6.9,7.1,7.2,7.2,7.5,7.9,8.1,8.3,8.2,8.4,8.9,9.2,9.9,10,10,10.1,10.3,10.6,11,11.4,12.1,12.8,13.1,13.3,13.3,13.4,13.3,13.2,13.2,13.2,13.3,14,14.9,15.5,15.5,15.5,15.7,15.9,16.3,17.2,17.2,17.2,17.1,16.9,17,17.3,17.6,17.6,17.4,17.5,19.5,18.2,17.3
1U.S. Bureau of the Census.  Census resident-based population less armed forces overseas and population of outlying areas.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2U.S. Department of Commerce, Bureau of Economic Analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:  Numbers and percents may not add to totals because of rounding.  Dollar amounts shown are in current dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group;  U.S. Department of Commerce, Bureau of Economic Analysis; and U.S. Bureau of the Census.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
